followers,following,posts,bio_length,profile_pic,is_private,fake
7270,3166,54,36,0,0,0
860,1245,185,20,1,0,0
5390,53,319,160,1,1,0
5191,2910,85,129,1,0,0
5734,2396,173,82,0,0,0
6265,442,467,155,0,0,0
466,4675,21,142,1,1,0
4426,3611,243,0,1,1,0
5578,4377,59,106,0,1,0
8322,2407,103,27,1,1,0
1685,822,138,49,0,1,0
769,3702,302,34,0,1,0
6949,2939,158,155,0,1,0
2433,4736,498,136,0,0,0
5311,1031,231,151,1,0,0
5051,2016,76,190,1,0,0
6420,562,17,131,0,0,0
1184,2538,21,183,1,1,0
4555,340,183,40,0,0,0
3385,4567,144,66,1,0,0
6396,3775,37,47,0,1,0
8666,2296,280,85,1,0,0
9274,234,287,57,1,1,0
2558,1116,142,38,0,1,0
7849,1908,12,24,1,0,0
2047,1417,185,59,0,0,0
2747,4919,473,116,1,1,0
9167,1291,433,85,0,0,0
9998,3488,266,113,1,1,0
189,4727,268,174,1,0,0
2734,3654,96,188,0,0,0
3005,528,433,83,0,0,0
4658,3324,356,154,1,1,0
1899,1980,293,123,1,1,0
7734,2939,0,110,0,0,0
1267,1329,294,41,0,0,0
1528,1233,26,51,0,1,0
3556,1753,35,47,0,1,0
3890,2800,159,31,1,1,0
8838,2933,424,151,1,1,0
5393,2759,398,130,1,0,0
8792,2775,30,117,1,1,0
8433,3487,126,154,1,1,0
7513,3850,261,167,1,1,0
2612,2527,344,22,0,1,0
7041,4997,496,134,1,0,0
9555,890,435,126,0,0,0
6235,2065,209,36,0,0,0
5486,1188,149,6,0,1,0
7099,4297,30,76,0,1,0
9670,740,99,81,1,0,0
775,1369,328,94,0,0,0
8226,1389,301,21,0,1,0
3152,2000,450,77,1,1,0
1585,1471,352,81,0,0,0
3943,1536,218,144,0,1,0
7555,318,252,18,1,0,0
3073,2264,170,94,0,1,0
1021,1894,256,38,1,0,0
3843,3711,427,116,1,1,0
7989,4819,56,35,1,1,0
9692,2822,8,14,1,1,0
6873,4508,4,190,1,0,0
5675,1275,334,156,0,1,0
161,3083,113,59,1,1,0
4297,400,264,183,1,1,0
995,723,172,167,1,0,0
7629,2329,219,143,1,1,0
9467,1135,204,160,1,0,0
1016,2770,23,88,0,1,0
7869,4846,492,15,0,0,0
6439,267,457,157,1,0,0
7892,569,169,97,0,1,0
6863,2556,405,193,1,0,0
7916,1973,102,103,1,1,0
8529,545,59,43,1,1,0
878,2822,85,165,0,1,0
9268,4460,254,50,1,1,0
4887,4642,164,187,1,0,0
4859,270,371,17,0,0,0
6331,738,166,4,1,0,0
8571,1257,83,167,0,0,0
8684,58,457,5,0,0,0
7208,4181,201,75,1,1,0
5276,4858,89,114,0,1,0
2062,389,88,11,1,0,0
64,718,436,11,0,0,0
8006,4244,119,72,0,1,0
2568,4678,155,105,0,0,0
5463,120,460,149,1,0,0
2027,2652,398,48,0,0,0
2695,2303,187,177,1,0,0
9687,4861,187,3,1,1,0
5258,2911,261,177,1,1,0
5618,799,51,2,0,0,0
6736,3380,139,143,0,1,0
391,2106,18,13,1,0,0
5892,1109,479,63,1,1,0
3561,1250,74,119,1,0,0
6184,2640,229,168,1,1,0
3099,1649,480,67,1,1,0
6278,1345,129,58,1,1,0
8392,2956,54,129,0,0,0
3104,2446,270,118,1,1,0
7215,4994,447,9,1,1,0
2454,3364,99,74,1,0,0
8996,484,68,89,1,0,0
2731,802,398,100,0,0,0
8154,1715,298,153,0,0,0
9762,1915,457,131,1,0,0
5056,3483,16,27,1,1,0
8110,1757,353,129,1,0,0
3840,1809,115,65,0,0,0
1028,3007,151,143,0,1,0
7385,3225,329,123,0,0,0
502,3495,115,56,1,0,0
6910,2320,29,150,0,1,0
9062,1670,322,150,1,1,0
6938,4615,50,20,1,0,0
4488,1151,59,102,1,0,0
206,4747,228,152,1,1,0
5134,2223,258,57,1,0,0
5977,2667,359,36,0,1,0
7721,210,4,176,0,1,0
7035,2494,27,142,0,1,0
1484,4681,253,155,1,0,0
7858,4262,363,194,0,0,0
863,2507,461,131,1,0,0
2790,2963,230,46,1,1,0
7408,3428,394,177,1,0,0
8755,3375,455,187,0,0,0
5116,3955,356,189,0,1,0
6019,3705,199,194,0,0,0
1757,3405,331,102,0,0,0
7574,4038,270,71,1,1,0
6374,1052,338,170,1,1,0
6892,713,303,88,1,1,0
1678,2888,382,57,1,0,0
3242,687,45,104,1,0,0
4636,329,27,179,0,0,0
1059,1746,6,68,0,1,0
6668,1207,231,45,1,0,0
9914,2142,198,152,1,0,0
3157,784,93,24,1,0,0
5915,2696,81,120,1,1,0
9789,3820,87,34,1,0,0
2693,3718,389,188,0,1,0
3627,2693,185,14,1,0,0
9555,625,242,105,0,1,0
5450,4234,67,127,0,1,0
1663,3708,310,73,1,0,0
9721,761,450,87,1,0,0
5592,3979,432,162,0,1,0
7392,3529,373,28,0,1,0
1306,1555,434,37,0,0,0
6776,3633,186,196,1,1,0
5864,675,238,23,0,1,0
9474,4187,389,18,1,1,0
7526,36,217,173,0,0,0
8901,3836,107,48,1,1,0
5575,1787,306,43,1,0,0
5530,2727,37,153,0,0,0
4413,3880,394,152,1,0,0
3748,1894,435,34,1,1,0
663,136,348,163,0,1,0
1998,3076,275,141,1,1,0
7994,3883,9,55,0,0,0
1495,661,25,133,0,0,0
3304,1810,47,31,0,0,0
3763,414,346,25,1,0,0
5232,342,369,142,1,0,0
1853,2729,13,176,0,0,0
6585,3450,99,55,1,0,0
1291,3665,186,36,0,0,0
3581,3737,11,124,0,1,0
7554,3897,371,52,0,1,0
7280,4241,378,185,1,1,0
1636,4418,278,100,1,1,0
3696,2169,340,77,1,0,0
698,1878,327,35,0,1,0
4737,3970,166,100,0,0,0
854,4696,121,10,1,1,0
8164,4570,392,26,1,0,0
5855,2617,471,1,0,1,0
7392,1515,94,21,0,1,0
6528,574,24,65,0,1,0
5249,4442,16,111,0,0,0
5172,2867,425,16,1,1,0
1707,3544,28,131,1,1,0
5791,4477,443,13,0,1,0
9925,71,322,6,0,1,0
5535,2568,340,78,1,1,0
4931,3437,312,143,0,0,0
3510,2980,71,103,0,0,0
202,1117,269,193,1,1,0
4218,2386,249,146,1,0,0
8958,3508,294,0,1,1,0
4389,1359,143,30,0,1,0
2327,4759,273,127,0,1,0
8004,1515,222,131,1,1,0
2931,39,74,90,1,0,0
7777,1382,101,57,0,1,0
197,2030,19,55,0,1,0
7125,2621,116,180,0,0,0
1930,1900,173,42,1,1,0
6287,2217,372,73,1,1,0
8800,4796,172,48,0,0,0
9339,4606,3,111,1,0,0
4282,1283,339,107,1,1,0
2511,583,478,59,1,1,0
9986,458,147,93,0,1,0
659,2265,394,143,0,0,0
2811,2666,113,72,1,1,0
7098,815,320,98,0,1,0
6546,2511,491,187,1,1,0
9561,246,401,113,1,1,0
1986,4825,166,174,0,0,0
8338,416,299,14,1,0,0
2911,4463,480,62,1,1,0
1734,3717,117,27,1,0,0
1843,107,99,147,1,1,0
8680,2631,273,190,1,0,0
2976,838,174,160,1,0,0
1959,4513,158,35,0,0,0
5759,4916,383,124,1,1,0
6694,1421,226,140,0,1,0
2385,4778,422,61,0,0,0
4736,3912,37,195,0,1,0
1802,255,462,150,0,0,0
8155,2827,430,199,0,1,0
8120,837,197,12,1,0,0
6616,2962,135,87,1,0,0
5534,2282,103,39,0,1,0
4061,552,469,157,1,1,0
262,180,192,123,0,0,0
